"version","id","countryid","fieldid","value"
"2014-06-24","1","1","91","$87.25 trillion (2013 est.)<br />$84.83 trillion (2012 est.)<br />$82.25 trillion (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","2","1","33","1.064%<br /><i><b>note:</b> </i>this rate results in about 145 net additions to the worldwide population every minute or 2.4 every second (2014 est.)"
"2014-06-24","3","1","93","2.9% (2013 est.)<br />3.1% (2012 est.)<br />3.8% (2011 est.)"
"2014-06-24","4","1","94","$13,100 (2013 est.)<br />$12,800 (2012 est.)<br />$12,600 (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","15","1","179","2.42% of GDP (2012)<br />2.51% of GDP (2011)<br />2.42% of GDP (2010)"
"2014-06-24","20","1","163","total airports - 41,821 (2013)<br /><i>top ten by passengers: </i>Atlanta (ATL) - 95,672,104; Beijing (PEK) - 81,908,740; London (LHR) - 70,051,902; Tokyo (HND) - 67,824,747; Chicago (ORD) - 67,124,607; Los Angeles (LAX) - 63,849,335; Paris (CDG) - 61,478,475; Dallas/Fort Worth (DFW) - 58,887,570; Dubai (DXB) - 58,392,171; Jakarta (CGK) - 57,839,056 (2013)<br /><i>top ten by cargo (metric tons): </i>Hong Kong (HKG) - 4,120,348; Memphis (MEM) - 4,053,865; Shanghai (PVG) - 2,969,554; Anchorage (ANC) - 2,470,147; Incheon (ICN) - 2,461,229; Dubai (DXB) - 2,294,614; Louisville (SDF) - 2,186,937; Frankfurt (FRA) - 2,067,698; Tokyo (NRT) - 2,014,500; Paris (CDG) - 1,940,850 (2013) (2013)"
"2014-06-24","21","1","34","18.7 births/1,000 population<br /><i><b>note:</b> </i>this rate results in about 255 worldwide births per minute or 4.3 births every second (2014 est.)"
"2014-06-24","26","1","35","7.89 deaths/1,000 population<br /><i><b>note:</b> </i>this rate results in about 108 worldwide deaths per minute or 1.8 deaths every second (2014 est.)"
"2014-06-24","28","1","120","$18.71 trillion (2013 est.)<br />$18.59 trillion (2012 est.)"
"2014-06-24","29","1","127","$72.97 trillion (31 December 2013 est.)<br />$69.87 trillion (31 December 2012 est.)<br /><i><b>note:</b> </i>this figure is the sum total of all countries' external debt, both public and private"
"2014-06-24","30","1","169","<i>total: </i>64,285,009 km (2013)"
"2014-06-24","32","1","123","$18.36 trillion (2013 est.)<br />$18.13 trillion (2012 est.)"
"2014-06-24","33","1","100","3.5% (2013 est.)"
"2014-06-24","35","1","41","<i>total: </i>36.58 deaths/1,000 live births<br /><i>male: </i>38.49 deaths/1,000 live births<br /><i>female: </i>34.54 deaths/1,000 live births (2014 est.)"
"2014-06-24","36","1","112","world average 3.9% (2013 est.)<br />developed countries 1.5% (2013 est.)<br />developing countries 5.6% (2013 est.)<br /><i><b>note:</b> </i>the above estimates are weighted averages; inflation in developed countries is 0% to 4% typically, in developing countries, 5% to 10% typically; national inflation rates vary widely in individual cases; inflation rates have declined for most countries for the last several years, held in check by increasing international competition from several low wage countries, and by soft demand as a result of the world financial crisis (2013 est.)"
