"version","id","shortid","longid","name"
"2014-06-24","1","wr","wrl","Oceans"
"2014-06-24","2","afr","afr","Africa"
"2014-06-24","3","ant","ant","Antarctica"
"2014-06-24","4","aus","aus","Australia-Oceania"
"2014-06-24","5","cam","cam","Central America and Caribbean"
"2014-06-24","6","cas","cas","Central Asia"
"2014-06-24","7","eas","eas","East &amp; Southeast Asia"
"2014-06-24","8","eur","eur","Europe"
"2014-06-24","9","mde","mde","Middle East"
"2014-06-24","10","noa","noa","North America"
"2014-06-24","11","soa","soa","South America"
"2014-06-24","12","sas","sas","South Asia"
"2014-06-24","13","oc","oce","Oceans"
